order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO43697,20,10770,2010-12-29,2011-01-05,2011-01-10,3578,1,3578.0
SO43698,9,17391,2010-12-29,2011-01-05,2011-01-10,3400,1,3400.0
SO43699,9,14865,2010-12-29,2011-01-05,2011-01-10,3400,1,3400.0
SO43700,41,3503,2010-12-29,2011-01-05,2011-01-10,699,1,699.0
SO43701,9,5,2010-12-29,2011-01-05,2011-01-10,3400,1,3400.0
SO43702,16,16647,2010-12-30,2011-01-06,2011-01-11,3578,1,3578.0
SO43703,20,5626,2010-12-30,2011-01-06,2011-01-11,3578,1,3578.0
SO43704,6,7,2010-12-30,2011-01-06,2011-01-11,3375,1,3375.0
SO43705,7,13,2010-12-30,2011-01-06,2011-01-11,3400,1,3400.0
SO43706,17,16623,2010-12-31,2011-01-07,2011-01-12,3578,1,3578.0
SO43707,17,16618,2010-12-31,2011-01-07,2011-01-12,3578,1,3578.0
SO43708,44,9044,2010-12-31,2011-01-07,2011-01-12,699,1,699.0
SO43709,18,5353,2010-12-31,2011-01-07,2011-01-12,3578,1,3578.0
SO43710,19,5519,2010-12-31,2011-01-07,2011-01-12,3578,1,3578.0
SO43711,19,16608,2011-01-01,2011-01-08,2011-01-13,3578,1,3578.0
SO43712,16,2515,2011-01-01,2011-01-08,2011-01-13,3578,1,3578.0
SO43713,20,16603,2011-01-02,2011-01-09,2011-01-14,3578,1,3578.0
SO43714,16,2593,2011-01-02,2011-01-09,2011-01-14,3578,1,3578.0
SO43715,19,5485,2011-01-02,2011-01-09,2011-01-14,3578,1,3578.0
SO43716,16,5531,2011-01-02,2011-01-09,2011-01-14,3578,1,3578.0
SO43717,41,14251,2011-01-02,2011-01-09,2011-01-14,699,1,699.0
SO43718,16,16670,2011-01-03,2011-01-10,2011-01-15,3578,1,3578.0
SO43719,17,16614,2011-01-03,2011-01-10,2011-01-15,3578,1,3578.0
SO43720,16,2266,2011-01-03,2011-01-10,2011-01-15,3578,1,3578.0
SO43721,20,2592,2011-01-03,2011-01-10,2011-01-15,3578,1,3578.0
SO43722,17,2583,2011-01-04,2011-01-11,2011-01-16,3578,1,3578.0
SO43723,39,3522,2011-01-04,2011-01-11,2011-01-16,699,1,699.0
SO43724,16,5522,2011-01-04,2011-01-11,2011-01-16,3578,1,3578.0
SO43725,16,2260,2011-01-05,2011-01-12,2011-01-17,3578,1,3578.0
SO43726,39,3562,2011-01-05,2011-01-12,2011-01-17,699,1,699.0
SO43727,16,5609,2011-01-05,2011-01-12,2011-01-17,3578,1,3578.0
SO43728,18,16668,2011-01-06,2011-01-13,2011-01-18,3578,1,3578.0
SO43729,9,240,2011-01-06,2011-01-13,2011-01-18,3400,1,3400.0
SO43730,9,14863,2011-01-06,2011-01-13,2011-01-18,3400,1,3400.0
SO43731,19,5631,2011-01-06,2011-01-13,2011-01-18,3578,1,3578.0
SO43732,5,27,2011-01-06,2011-01-13,2011-01-18,3375,1,3375.0
SO43733,17,16579,2011-01-06,2011-01-13,2011-01-18,3578,1,3578.0
SO43734,17,16606,2011-01-07,2011-01-14,2011-01-19,3578,1,3578.0
SO43735,20,5524,2011-01-07,2011-01-14,2011-01-19,3578,1,3578.0
SO43736,9,4,2011-01-07,2011-01-14,2011-01-19,3400,1,3400.0
